,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CARD14,3,0,2,33,53,40,55,30,178,13,4,10
CARD9,0,0,126,32,44,90,8,12,65,0,35,4
CARS2,0,0,17,15,9,132,2,21,21,0,0,0
CASD1,1,0,0,0,0,0,0,0,0,0,0,0
CASP10,15,1,2,25,6,3,19,4,3,3,1,0
CASP2,1,0,0,11,1,4,4,1,24,3,2,4
CASP5,0,6,9,4,5,5,2,6,0,0,0,0
CASP9,7,1,0,9,19,24,0,7,15,2,3,17
CASQ1,0,0,83,9,53,9,4,4,14,0,1,1
CAT,1,0,0,14,35,33,34,2,57,0,4,0
CATSPER1,0,3,0,15,140,296,6,51,37,0,1,3
CATSPER4,1,1,0,19,8,25,2,18,157,2,3,3
