,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CAMK4,2,0,0,4,6,0,3,2,3,1,1,3
CAMKMT,1,0,0,2,2,3,1,0,22,0,0,0
CAMP,1,0,270,3,13,54,0,3,0,0,2,61
CAMTA2,1,0,0,13,23,70,18,50,345,2,1,16
CANT1,5,0,0,10,7,51,31,6,7,1,0,4
CAPN10,1,2,0,29,69,258,7,5,136,0,5,0
CAPN12,3,5,0,31,51,119,7,25,45,0,8,0
CAPN13,0,5,0,11,105,107,5,27,7,2,0,3
CAPN15,0,0,2,0,0,0,0,2,3,0,0,2
CAPN3,1,36,0,33,24,10,20,22,55,1,0,13
CAPN5,0,1,0,24,23,32,17,22,97,0,0,0
